student_id,full_name,gender,age,department,semester,final_marks,attendance_percentage,city,admission_date,email,scholarship,tuition_fee
2024001,Muhammad Khan,Male,20,SE,4,67,80.8,Bannu,1/22/2024,muhammad.khan2024001@itar.edu.pk,Yes,32000
2024002,Ali Khan,Male,23,DS,6,77,86.6,Kohat,4/30/2024,ali.khan2024002@itar.edu.pk,No,34000
2024003,Ahmad Khan,Male,18,CS,1,70,85.1,Peshawar,12/8/2024,ahmad.khan2024003@itar.edu.pk,No,30000
2024004,Hamza Khan,Male,19,DS,2,71,85.2,Bannu,20-03-2024,hamza.khan2024004@itar.edu.pk,No,34000
2024005,Abdullah Khan,Male,18,AI,1,82,,Mardan,1/1/2024,abdullah.khan2024005@itar.edu.pk,Yes,35000
2024006,Hassan Khan,,-5,CS,5,95,93.4,Peshawar,8/3/2024,hassan.khan2024006@itar.edu.pk,Yes,30000
2024007,Bilal Khan,Male,22,AI,15,83,85.5,Dera Ismail Khan,11/4/2024,bilal.khan2024007@itar.edu.pk,No,35000
2024008,Fatima Khan,Female,23,SE,6,70,85.2,Kohat,,fatima.khan2024008@itar.edu.pk,No,32000
2024009,Usman Khan,Male,22,AI,6,68,64.4,Peshawar,2/23/2024,,No,35000
2024010,Awais Khan,Male,19,IT,1,79,,Islamabad,12/13/2024,awais.khan2024010@itar.edu.pk,No,28000
2024011,Muhammad Ahmad,Male,18,IT,1,80,,Kohat,5/25/2024,muhammad.ahmad2024011,No,28000
2024012,Talha Khan,Male,Nil,SE,4,83,,Islamabad,5/13/2024,talha.khan2024012@itar.edu.pk,Yes,
2024013,Ayesha Khan,Female,24,DS,6,absent,80.5,Mardan,4/8/2024,ayesha.khan2024013@itar.edu.pk,,34000
2024014,Fahad Khan,Male,18,SE,1,86,82.8,Bannu,3/3/2024,fahad.khan2024014@itar.edu.pk,No,32000
2024015,Danish Khan,Male,24,CS,8,81,,Bannu,29-7-2024,danish.khan2024015@itar.edu.pk,No,30000
2024016,Hina Khan,Female,24,DS,8,91,89.3,Dera Ismail Khan,12/7/2024,hina.khan2024016@itar.edu.pk,No,34000
2024017,Asad Khan,Male,,CS,4,absent,,Kohat,11/22/2024,asad.khan2024017@itar.edu.pk,No,30000
2024018,Maryam Khan,,22,DS,4,69,84.6,Bannu,2/27/2024,,No,34000
2024019,Zainab Khan,Female,150,AI,30,78,81.5,Kohat,,zainab.khan2024019@itar.edu.pk,Yes,35000
2024020,Iqra Khan,Female,24,CS,6,79,,Bannu,4/17/2024,iqra.khan2024020@iqra.khan2024020@itar.edu.pk,No,30000
2024021,Yasir Khan,Male,18,CS,2,82,93.7,Kohat,2/12/2024,yasir.khan2024021@yasir.khan2024021@itar.edu.pk,Yes,30000
2024022,Sana Khan,Female,23,IT,7,85,,Dera Ismail Khan,2/3/2024,sana.khan2024022@sana.khan2024022@itar.edu.pk,Yes,28000
2024023,Shahzaib Khan,Male,19,CS,3,74,81.8,Mardan,11/22/2024,shahzaib.khan2024023@shahzaib.khan2024023@itar.edu.pk,No,30000
2024024,Adnan Khan,Male,19,SE,1,82,,Peshawar,10/7/2024,adnan.khan2024024,No,32000
2024025,Rizwan Khan,Male,22,CS,4,46,52.9,Dera Ismail Khan,4/12/2024,rizwan.khan2024025@rizwan.khan2024025@itar.edu.pk,Yes,30000
