student_id,full_name,gender,age,department,semester,marks,attendance_percentage,city,admission_date,email,scholarship,tuition_fee
2024001,Muhammad Khan,male,20,SE,4,67,80.8,Bannu,2024-01-22,muhammad.khan2024001@itar.edu.pk,Yes,15000.0
2024002,Ali Khan,male,23,DS,6,77,86.6,Kohat,2024-04-30,ali.khan2024002@itar.edu.pk,No,30000.0
2024003,Ahmad Khan,male,18,CS,1,70,85.1,Peshawar,2024-12-08,ahmad.khan2024003@itar.edu.pk,No,50000.0
2024004,Hamza Khan,male,19,DS,2,71,85.2,Bannu,2024-12-08,hamza.khan2024004@itar.edu.pk,No,30000.0
2024005,Abdullah Khan,male,18,AI,1,82,84.2059405940594,Mardan,2024-01-01,abdullah.khan2024005@itar.edu.pk,Yes,25000.0
2024006,Hassan Khan,male,21,CS,5,95,93.4,Peshawar,2024-08-03,hassan.khan2024006@itar.edu.pk,Yes,15000.0
2024007,Bilal Khan,male,22,AI,4,83,85.5,Dera Ismail Khan,2024-11-04,bilal.khan2024007@itar.edu.pk,No,30000.0
2024008,Fatima Khan,female,23,SE,6,70,85.2,Kohat,2024-11-04,fatima.khan2024008@itar.edu.pk,No,30000.0
2024009,Usman Khan,male,22,AI,6,68,64.4,Peshawar,2024-02-23,Not Available,No,30000.0
2024010,Awais Khan,male,19,IT,1,79,84.2059405940594,Islamabad,2024-12-13,awais.khan2024010@itar.edu.pk,No,50000.0
2024011,Muhammad Ahmad,male,18,IT,1,80,84.2059405940594,Kohat,2024-05-25,muhammad.ahmad2024011,No,50000.0
2024012,Talha Khan,male,21,SE,4,83,84.2059405940594,Islamabad,2024-05-13,talha.khan2024012@itar.edu.pk,Yes,15000.0
2024013,Ayesha Khan,female,24,DS,6,78,80.5,Mardan,2024-04-08,ayesha.khan2024013@itar.edu.pk,No,30000.0
2024014,Fahad Khan,male,18,SE,1,86,82.8,Bannu,2024-03-03,fahad.khan2024014@itar.edu.pk,No,50000.0
2024015,Danish Khan,male,24,CS,8,81,84.2059405940594,Bannu,2024-03-03,danish.khan2024015@itar.edu.pk,No,30000.0
2024016,Hina Khan,female,24,DS,8,91,89.3,Dera Ismail Khan,2024-12-07,hina.khan2024016@itar.edu.pk,No,30000.0
2024017,Asad Khan,male,21,CS,4,78,84.2059405940594,Kohat,2024-11-22,asad.khan2024017@itar.edu.pk,No,30000.0
2024018,Maryam Khan,male,22,DS,4,69,84.6,Bannu,2024-02-27,Not Available,No,30000.0
2024019,Zainab Khan,female,21,AI,4,78,81.5,Kohat,2024-02-27,zainab.khan2024019@itar.edu.pk,Yes,30000.0
2024020,Iqra Khan,female,24,CS,6,79,84.2059405940594,Bannu,2024-04-17,iqra.khan2024020@iqra.khan2024020@itar.edu.pk,No,30000.0
2024021,Yasir Khan,male,18,CS,2,82,93.7,Kohat,2024-02-12,yasir.khan2024021@yasir.khan2024021@itar.edu.pk,Yes,15000.0
2024022,Sana Khan,female,23,IT,7,85,84.2059405940594,Dera Ismail Khan,2024-02-03,sana.khan2024022@sana.khan2024022@itar.edu.pk,Yes,15000.0
2024023,Shahzaib Khan,male,19,CS,3,74,81.8,Mardan,2024-11-22,shahzaib.khan2024023@shahzaib.khan2024023@itar.edu.pk,No,30000.0
